reviews_totals
5
11
4
1
1
7
1
15
7
12
0
6
2
7
8
3
4
1
4
2
0
0
8
5
8
0
1
0
1
3
0
3
0
14
2
53
0
2
9
1
2
7
1
1
6
0
7
4
0
6
4
1
2
0
0
4
6
1
1
4
3
1
0
2
3
6
0
0
0
1
2
0
1
0
5
2
0
0
0
4
0
5
1
1
0
2
0
3
0
5
0
58
1
18
4
7
1
0
0
32
